age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
70,admin.,married,basic.6y,no,yes,no,cellular,may,mon,2361,1,999,2,nonexistent,-2.0,93.812,-29.1,2.564,5135.7
19,self-employed,married,unknown,no,no,yes,cellular,jun,mon,3967,8,999,1,nonexistent,1.0,93.826,-43.7,4.884,5163.9
37,technician,married,unknown,no,yes,no,cellular,oct,mon,2378,4,999,2,nonexistent,0.9,92.954,-42.0,2.614,5106.5
45,services,married,basic.9y,no,yes,no,telephone,jul,fri,905,6,999,3,nonexistent,-1.9,92.044,-41.5,2.726,5082.7
64,unemployed,married,basic.6y,no,no,no,cellular,may,mon,3149,8,999,0,nonexistent,0.7,92.64,-32.2,3.564,4989.4
77,admin.,married,basic.9y,no,yes,no,telephone,aug,mon,3388,1,999,2,nonexistent,-2.2,92.981,-40.6,0.713,5216.1
24,self-employed,single,illiterate,no,yes,no,telephone,jun,wed,2497,4,999,3,nonexistent,1.3,92.982,-37.5,4.074,4999.6
61,entrepreneur,divorced,illiterate,no,yes,yes,cellular,aug,wed,28,2,999,3,nonexistent,-0.9,93.273,-33.6,4.153,5043.0
78,services,single,basic.6y,no,yes,no,cellular,may,fri,1713,1,999,4,nonexistent,-0.7,92.691,-28.2,2.139,5229.4
25,self-employed,married,high.school,no,yes,no,cellular,jun,wed,1387,4,999,2,nonexistent,-3.3,94.308,-47.7,2.28,5056.0
64,blue-collar,married,basic.4y,no,yes,no,cellular,jun,tue,2819,3,999,1,nonexistent,0.2,92.567,-27.5,1.291,5052.9
52,self-employed,married,illiterate,no,yes,no,telephone,may,mon,4192,9,5,3,nonexistent,-2.2,94.406,-37.9,0.831,5098.8
31,services,single,basic.9y,no,yes,yes,telephone,jul,tue,749,1,10,2,failure,-2.6,93.685,-47.5,4.807,5217.4
34,unknown,divorced,high.school,no,no,yes,telephone,may,fri,680,6,999,0,nonexistent,-1.6,93.38,-37.5,1.189,5095.6
53,management,married,basic.4y,no,no,no,cellular,aug,tue,4617,4,0,1,nonexistent,-1.8,93.007,-39.0,4.736,5132.0
67,unknown,married,basic.4y,no,no,no,cellular,oct,tue,2603,4,999,2,nonexistent,-2.7,92.368,-45.6,3.38,4998.8
57,blue-collar,single,professional.course,no,yes,no,telephone,oct,tue,1177,3,999,0,nonexistent,0.4,94.414,-42.6,4.943,5044.1
21,technician,single,unknown,no,yes,no,cellular,oct,wed,3211,2,999,3,nonexistent,0.1,93.492,-41.9,2.587,5007.8
19,services,single,professional.course,no,no,yes,telephone,jun,mon,2067,4,999,3,nonexistent,-2.0,92.628,-39.5,4.185,5089.4
79,management,single,unknown,no,no,no,cellular,jun,tue,3553,7,999,0,nonexistent,-1.0,94.911,-30.3,1.719,5127.2
23,housemaid,divorced,professional.course,no,yes,no,cellular,may,thu,290,7,999,2,nonexistent,-2.0,92.522,-39.8,0.901,5043.8
71,entrepreneur,married,basic.9y,no,yes,no,cellular,jun,mon,3436,1,999,3,nonexistent,-3.0,93.097,-29.8,3.634,4996.8
59,management,divorced,basic.9y,no,no,no,cellular,aug,mon,213,3,999,2,nonexistent,-1.5,92.914,-40.1,4.53,5021.6
21,housemaid,divorced,unknown,yes,yes,yes,telephone,may,thu,656,4,999,3,nonexistent,-1.6,92.527,-43.9,0.884,5223.3
71,unemployed,single,illiterate,no,yes,no,cellular,aug,fri,3483,3,999,4,nonexistent,0.9,93.777,-40.6,2.882,5017.3
46,unemployed,married,basic.4y,no,yes,no,telephone,oct,fri,1871,6,999,3,nonexistent,-0.3,92.048,-49.1,3.547,5000.6
35,student,married,basic.9y,no,no,no,cellular,aug,mon,2980,7,999,3,nonexistent,0.3,94.486,-37.3,3.704,5111.9
43,admin.,married,basic.4y,no,no,no,cellular,oct,wed,4337,4,999,4,nonexistent,-0.2,94.107,-49.7,0.815,5229.3
61,management,married,high.school,no,no,no,telephone,jun,fri,2531,7,999,1,nonexistent,-2.1,92.723,-30.5,4.409,5016.4
51,retired,single,basic.6y,no,no,yes,cellular,may,fri,734,6,999,4,failure,0.5,94.491,-36.9,2.024,5090.2
27,entrepreneur,married,basic.4y,no,yes,no,telephone,jul,tue,1932,1,999,1,nonexistent,-0.1,94.688,-31.3,1.899,5130.5
79,management,married,basic.4y,no,no,no,cellular,aug,tue,3981,1,5,3,nonexistent,-2.9,94.2,-33.9,0.889,4993.4
53,housemaid,single,high.school,no,yes,no,cellular,may,fri,981,4,999,1,nonexistent,-1.2,92.149,-40.0,3.193,5107.9
31,retired,married,unknown,no,yes,no,telephone,jul,wed,2952,7,999,0,nonexistent,-3.2,93.389,-46.4,2.406,4990.5
48,entrepreneur,married,professional.course,no,no,no,cellular,may,tue,4231,4,999,0,success,-1.7,92.265,-40.7,4.771,5079.2
65,retired,married,university.degree,no,yes,yes,telephone,jul,wed,461,7,999,0,success,-0.4,92.056,-28.6,1.103,5226.3
32,blue-collar,single,illiterate,no,yes,no,cellular,may,mon,4212,6,999,4,nonexistent,-0.9,92.68,-49.4,1.763,5033.1
25,housemaid,married,unknown,no,no,yes,cellular,oct,wed,1606,4,999,0,failure,-1.1,94.742,-29.1,1.731,5158.4
31,unemployed,single,professional.course,no,no,no,telephone,jul,tue,3906,8,999,2,nonexistent,-2.4,93.135,-31.6,4.751,5115.5
40,self-employed,married,professional.course,no,yes,no,telephone,may,thu,3427,1,999,0,nonexistent,-2.9,94.467,-42.5,1.267,5086.4
77,blue-collar,divorced,illiterate,yes,yes,no,cellular,jul,wed,3094,7,999,3,nonexistent,-1.4,94.645,-38.0,4.949,5205.3
74,entrepreneur,married,unknown,no,yes,no,telephone,oct,fri,2856,1,0,0,failure,-1.4,92.959,-42.7,4.592,5138.6
79,entrepreneur,married,unknown,no,no,yes,cellular,jul,wed,2902,6,999,1,nonexistent,0.1,94.674,-27.4,4.359,5012.6
57,services,married,illiterate,no,yes,no,telephone,jul,wed,3530,7,999,3,success,-2.8,93.831,-43.3,3.218,5135.2
38,housemaid,married,basic.4y,no,no,no,telephone,may,wed,4980,6,10,3,nonexistent,-1.8,92.298,-36.7,4.919,5047.1
33,student,married,basic.4y,no,yes,no,cellular,aug,fri,2022,4,999,0,nonexistent,-1.7,94.231,-35.7,1.88,5018.7
62,student,married,basic.9y,no,yes,no,telephone,oct,wed,3801,8,999,1,nonexistent,-1.4,93.276,-28.8,2.101,5134.8
35,entrepreneur,married,basic.9y,no,yes,no,cellular,may,thu,1855,8,999,3,nonexistent,-2.8,93.824,-29.1,3.735,5137.3
64,student,married,basic.6y,no,yes,yes,telephone,jun,fri,1018,2,999,3,failure,-0.2,93.455,-36.4,3.588,5218.2
70,admin.,married,basic.6y,no,no,no,cellular,jul,thu,4680,1,999,2,success,-1.6,94.94,-26.3,4.277,5194.5
41,unemployed,married,university.degree,no,no,no,cellular,jun,thu,1501,8,999,4,nonexistent,-0.8,94.1,-32.3,3.881,5002.3
43,services,single,unknown,no,yes,yes,cellular,may,thu,3946,7,999,1,nonexistent,-3.0,92.662,-41.5,3.545,5111.8
42,entrepreneur,divorced,basic.9y,no,yes,no,telephone,aug,fri,1502,2,999,0,failure,-0.1,94.37,-48.2,4.145,5012.3
77,student,married,unknown,no,no,no,cellular,oct,tue,3593,5,999,3,nonexistent,-0.3,94.044,-48.2,4.941,5067.9
77,housemaid,married,basic.4y,no,yes,no,cellular,may,fri,3264,5,999,3,nonexistent,-1.3,93.563,-38.8,3.29,5010.6
77,unknown,divorced,high.school,no,no,no,cellular,aug,wed,2759,7,999,4,nonexistent,-1.2,94.864,-48.5,2.886,5089.8
62,management,married,basic.9y,no,yes,yes,cellular,may,thu,102,2,999,0,nonexistent,-2.1,93.43,-44.6,1.267,5045.4
58,self-employed,divorced,basic.4y,no,yes,no,cellular,aug,wed,1673,9,999,2,failure,-2.0,93.655,-46.1,2.342,5154.1
46,unemployed,married,unknown,no,yes,no,cellular,jun,thu,1879,9,999,2,nonexistent,1.1,94.292,-37.8,3.031,5011.2
32,blue-collar,single,illiterate,no,yes,no,cellular,aug,thu,1259,5,999,1,nonexistent,-3.3,94.478,-31.1,0.808,5151.2
62,unknown,married,basic.9y,no,yes,no,telephone,oct,wed,338,2,999,4,nonexistent,-0.8,93.931,-47.5,4.851,5095.8
18,blue-collar,divorced,professional.course,no,no,no,cellular,jun,mon,3261,7,999,4,nonexistent,-1.9,94.277,-44.4,0.97,4970.2
42,admin.,married,basic.9y,no,yes,no,cellular,jul,thu,3188,4,999,3,failure,-1.7,94.349,-46.4,4.989,5131.8
24,retired,single,unknown,no,yes,no,cellular,jun,mon,2118,3,999,3,nonexistent,-0.9,94.564,-43.3,1.683,5080.3
26,housemaid,married,unknown,no,yes,no,telephone,jun,fri,3016,7,999,3,nonexistent,-1.5,94.119,-30.7,3.78,5076.1
41,retired,married,university.degree,no,no,no,cellular,jul,thu,4917,7,999,3,nonexistent,-2.7,93.753,-28.2,2.723,5074.1
18,services,single,unknown,no,no,yes,telephone,jun,thu,1958,1,999,0,nonexistent,-2.3,92.872,-35.0,0.843,4976.1
61,self-employed,married,professional.course,no,no,no,cellular,jun,fri,3302,7,999,0,failure,-3.2,92.887,-29.2,1.569,5011.7
25,services,divorced,basic.4y,no,yes,no,cellular,jul,wed,1963,5,999,1,nonexistent,-1.6,92.574,-39.8,4.838,5182.6
41,entrepreneur,married,professional.course,no,no,no,cellular,jul,wed,3522,7,999,2,nonexistent,0.9,92.888,-41.8,2.899,5191.7
28,unknown,single,basic.9y,no,no,yes,cellular,oct,mon,1732,8,999,1,nonexistent,-1.0,94.387,-39.6,4.217,5140.0
68,housemaid,married,illiterate,no,yes,no,telephone,jun,fri,3525,7,999,3,nonexistent,-0.8,94.113,-47.1,4.577,5015.0
34,unknown,divorced,professional.course,no,yes,no,cellular,jun,thu,3167,2,999,4,nonexistent,-1.3,92.844,-26.5,0.692,5145.1
25,entrepreneur,divorced,university.degree,no,no,no,telephone,jun,mon,2343,4,999,0,nonexistent,0.9,92.956,-28.2,3.776,5058.6
52,technician,married,high.school,no,yes,yes,telephone,oct,wed,3341,6,999,0,nonexistent,-1.3,94.941,-45.0,2.453,5145.9
52,student,single,professional.course,no,yes,yes,telephone,jun,thu,2719,9,999,0,success,0.2,92.963,-29.5,1.075,5170.1
50,blue-collar,single,unknown,no,yes,no,telephone,jul,wed,3734,5,999,0,nonexistent,0.2,92.62,-43.3,2.603,5142.3
76,unknown,married,university.degree,no,yes,yes,telephone,jul,mon,4693,2,999,4,nonexistent,-1.0,93.167,-40.5,4.758,5092.7
22,management,single,professional.course,no,yes,no,cellular,jul,wed,3037,4,999,1,nonexistent,-0.3,94.154,-41.5,2.681,5190.5
59,entrepreneur,married,basic.6y,no,no,no,telephone,jul,wed,1652,8,999,0,nonexistent,-1.3,93.051,-33.7,1.625,5063.8
56,retired,single,high.school,yes,no,no,cellular,aug,fri,3129,4,999,3,nonexistent,0.2,94.496,-47.1,2.705,5058.0
75,technician,married,basic.4y,no,yes,yes,telephone,jul,mon,2837,8,999,3,nonexistent,0.7,93.23,-34.7,2.628,5016.8
58,blue-collar,married,unknown,no,yes,no,telephone,oct,thu,1727,4,999,1,nonexistent,0.9,94.977,-31.7,1.912,5176.6
45,entrepreneur,married,university.degree,no,no,yes,telephone,aug,wed,2377,8,999,1,nonexistent,-2.9,92.452,-38.3,2.822,5058.3
24,unknown,married,professional.course,no,no,yes,telephone,jun,wed,2403,3,999,1,nonexistent,-1.8,92.033,-35.4,3.022,4965.6
26,technician,single,illiterate,no,yes,yes,cellular,jul,tue,4571,4,999,1,nonexistent,-2.0,93.088,-33.5,1.753,5160.6
25,technician,divorced,high.school,no,no,yes,cellular,jun,mon,2839,9,999,4,nonexistent,0.7,92.755,-30.0,4.967,5202.3
29,housemaid,married,basic.4y,no,no,no,cellular,jul,mon,3527,5,999,0,success,-0.3,93.169,-26.3,2.221,5179.7
51,services,married,high.school,yes,yes,no,cellular,jul,thu,531,3,10,4,failure,-1.5,92.381,-27.9,3.734,5028.2
50,technician,single,university.degree,no,yes,no,telephone,aug,fri,3714,3,999,4,nonexistent,-1.7,94.134,-44.8,4.661,5216.6
65,admin.,married,basic.6y,no,yes,no,cellular,jul,thu,3782,4,999,0,success,-3.3,94.588,-47.3,1.306,5215.9
72,services,married,university.degree,yes,no,no,cellular,jul,mon,534,2,999,4,nonexistent,0.9,93.927,-29.6,1.283,5125.2
40,blue-collar,married,university.degree,no,yes,no,cellular,may,wed,2490,7,999,1,failure,0.4,93.596,-32.8,2.348,5215.9
79,blue-collar,married,illiterate,no,yes,yes,telephone,oct,fri,1378,7,999,2,success,-1.2,94.24,-46.4,4.21,5158.7
41,blue-collar,married,basic.4y,no,yes,yes,cellular,oct,fri,3616,9,999,3,success,-3.2,92.075,-45.5,3.411,5166.6
54,blue-collar,single,illiterate,no,no,yes,telephone,jun,mon,2418,8,0,1,success,0.9,94.286,-41.9,2.592,5132.9
52,admin.,married,illiterate,no,yes,no,cellular,jun,mon,45,3,999,1,failure,-2.0,93.59,-37.4,2.517,5170.4
61,unknown,single,basic.4y,no,no,no,cellular,aug,thu,3106,5,999,0,nonexistent,-1.7,93.789,-26.4,3.198,4985.3
57,entrepreneur,married,professional.course,no,no,no,cellular,jun,tue,21,8,999,2,success,0.9,94.781,-42.2,1.744,5005.6
39,self-employed,married,basic.9y,no,no,no,cellular,may,mon,2148,8,999,0,nonexistent,-0.7,94.38,-45.7,4.241,5138.5
44,unknown,single,university.degree,no,no,no,telephone,jun,mon,485,2,999,1,failure,-1.1,94.749,-43.8,1.995,4966.0
52,technician,married,basic.4y,no,yes,no,telephone,jul,thu,3112,1,999,4,nonexistent,-1.2,93.686,-33.4,3.188,5216.4
18,blue-collar,married,illiterate,yes,no,no,telephone,jun,mon,3593,5,999,3,nonexistent,-0.8,93.469,-41.9,0.785,5141.8
52,unemployed,single,university.degree,no,no,yes,cellular,jun,thu,356,1,999,3,nonexistent,-2.8,92.805,-28.0,2.261,5181.8
54,services,married,university.degree,no,no,no,cellular,jul,mon,1649,7,999,1,nonexistent,-2.1,94.003,-38.8,3.613,5180.0
64,services,single,illiterate,no,no,no,telephone,may,wed,4486,8,999,0,nonexistent,-3.3,92.894,-46.3,1.052,5164.4
31,technician,married,basic.4y,no,no,no,cellular,oct,mon,2089,6,999,2,nonexistent,1.0,92.478,-48.0,3.998,5014.4
20,entrepreneur,single,basic.6y,no,yes,no,telephone,may,tue,3210,3,999,2,nonexistent,0.9,93.988,-37.8,1.696,5047.0
18,management,married,basic.6y,no,yes,no,cellular,may,fri,1488,1,999,1,nonexistent,-0.4,93.618,-29.4,4.562,5110.3
22,management,married,university.degree,no,yes,no,telephone,aug,thu,4094,2,999,2,nonexistent,-1.5,92.979,-35.8,2.324,5026.9
43,self-employed,divorced,basic.6y,no,yes,no,telephone,aug,tue,4167,2,999,0,nonexistent,-0.6,93.541,-36.3,3.993,5063.7
72,entrepreneur,single,university.degree,no,no,no,telephone,jul,thu,3654,2,999,2,nonexistent,-1.3,92.583,-34.7,3.229,5180.9
31,technician,married,illiterate,no,yes,no,cellular,aug,tue,1642,5,999,0,nonexistent,0.7,93.688,-27.2,2.44,5172.6
56,management,married,professional.course,no,yes,no,cellular,oct,thu,764,2,999,1,nonexistent,-0.6,94.042,-29.7,2.476,5140.0
44,management,married,basic.4y,no,no,no,cellular,jul,thu,2119,9,999,2,nonexistent,0.3,93.417,-33.0,0.753,4978.5
26,management,single,university.degree,no,no,no,cellular,aug,fri,1760,6,999,0,nonexistent,-2.7,92.477,-28.6,3.666,5138.7
32,retired,single,basic.6y,no,no,no,telephone,jun,mon,2693,7,999,4,nonexistent,1.0,94.223,-35.2,4.282,4997.4
32,unemployed,single,basic.6y,no,no,yes,cellular,aug,thu,45,3,999,2,nonexistent,-2.9,94.832,-37.0,1.538,4972.4
43,unknown,married,high.school,no,yes,no,telephone,oct,thu,1412,7,999,3,nonexistent,0.2,93.407,-49.5,4.206,5181.9
59,admin.,single,high.school,no,no,no,cellular,aug,fri,1615,4,999,2,success,-1.3,94.933,-38.5,3.885,4993.2
77,technician,married,unknown,no,yes,no,telephone,jul,thu,4012,8,999,2,nonexistent,-0.2,92.184,-49.0,4.479,5000.1
30,student,married,basic.6y,no,no,no,telephone,jun,thu,3341,9,999,4,nonexistent,0.9,94.963,-31.1,4.608,5015.5
68,housemaid,married,unknown,no,yes,no,cellular,jul,wed,33,5,5,2,nonexistent,-1.0,93.933,-49.5,1.717,5047.5
49,unknown,divorced,unknown,no,no,no,cellular,jun,wed,2999,3,999,2,nonexistent,1.1,94.857,-49.0,1.236,4964.1
56,housemaid,single,unknown,no,no,no,telephone,jun,wed,3889,6,15,1,nonexistent,-2.3,92.546,-49.1,4.479,5046.3
66,entrepreneur,married,professional.course,no,yes,no,telephone,oct,fri,2017,3,999,1,success,0.8,93.432,-40.2,4.084,4974.6
69,technician,single,basic.9y,no,no,no,cellular,may,thu,3925,6,999,0,nonexistent,-1.4,94.932,-34.9,0.716,4965.0
78,technician,divorced,university.degree,no,no,no,telephone,oct,fri,1918,7,999,3,nonexistent,-1.1,93.171,-28.1,3.842,5070.2
49,housemaid,married,high.school,no,no,no,telephone,may,fri,1463,6,999,2,success,-1.3,94.048,-39.1,2.081,5146.1
21,self-employed,married,university.degree,no,yes,no,telephone,may,tue,4499,4,999,1,nonexistent,-2.5,92.571,-30.4,2.486,5079.1
47,housemaid,divorced,high.school,no,yes,no,cellular,oct,mon,268,7,999,0,nonexistent,-0.1,94.569,-37.5,3.257,5224.9
54,technician,single,basic.4y,no,yes,yes,cellular,aug,tue,2908,2,999,4,nonexistent,-0.8,92.791,-45.3,4.803,5175.0
40,management,married,basic.4y,no,yes,no,cellular,oct,mon,200,5,999,3,nonexistent,0.5,92.463,-28.6,1.066,5117.2
56,self-employed,married,basic.6y,no,yes,yes,telephone,jul,tue,4318,6,999,4,success,1.0,93.652,-31.6,0.654,4979.5
62,blue-collar,married,basic.4y,no,no,no,telephone,jul,thu,1068,6,999,0,nonexistent,-2.2,92.741,-35.3,3.48,5183.6
32,student,married,illiterate,no,yes,no,cellular,jul,fri,1477,5,999,4,nonexistent,0.1,94.296,-28.3,0.617,5215.9
